지역,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22
전국,62.846,63.482,64.133,64.705,65.17,65.721,66.015,66.955,68.052,70.687,73.653,74.813,75.997,75.852,76.211,75.841,75.197,75.606,76.074,76.607,76.964,77.148,77.058,77.048,77.754,78.229,79.199,80.192,80.955,81.592,81.603,81.534,80.821,78.89,76.149,73.442,73.782,75.053,75.443,76.547,77.605,78.405,79.29,80.408,81.093,80.945,80.404,79.894,80.699,80.679,80.524,79.686,79.15,78.747,78.523,78.363,78.951,79.45,79.948,80.753,82.09,83.324,84.242,84.726,84.939,85.215,85.631,86.186,86.74,86.694,86.178,85.442,86.165,86.341,86.029,85.646,85.541,85.072,84.478,84.374,84.357,84.356,83.905,83.023,83.926,84.022,84.386,84.649,84.768,84.479,85.047,85.458,86.033,86.477,86.406,86.411,87.095,87.572,88.043,88.079,88.045,88.127,88.327,88.963,89.536,90.064,90.302,90.505,91.053,91.716,92.498,93.172,93.72,94.197,95.105,95.742,96.327,96.734,96.712,96.121,95.919,96.053,95.901,95.905,95.864,96.16,96.679,97.303,98.113,98.732,98.851,98.497,98.264,98.477,98.619,98.483,98.788,99.302,99.961,100.189,100.245,100.302,100,99.665,99.853,100.237,100.263,100.323,100.022,99.904,99.817,100.872,102.246,102.559,101.771,101,100.541,100.108,99.455,99.133,98.955,99.215,99.586,99.864,100.204,100.645,101.449,102.339,103.048,104.346,105.131,105.048,105.805,107.652,109.972,111.323,112.108,113.406,115.925,118.864,121.935,124.283,125.909,127.301,129.205,132.012,134.721,137.75,140.362,141.855,141.399,140.065,139.416,139.103,139.586,140.461,139.1
수도권,66.638,67.736,68.862,69.824,70.649,71.084,71.627,72.771,74.303,78.244,82.765,84.863,86.429,86.395,86.949,86.49,85.803,86.525,87.349,88.305,88.708,89.161,89.139,89.329,90.291,91.008,92.583,94.249,95.483,96.515,96.427,96.314,95.139,91.682,87.226,82.822,83.686,85.867,86.57,88.539,90.325,91.716,93.025,94.663,95.519,94.89,93.818,92.806,93.856,93.633,92.921,91.125,89.783,88.837,87.996,87.348,87.888,88.128,88.576,89.336,90.425,91.313,91.189,90.604,90.108,89.697,89.498,89.654,89.551,89.049,88.051,87.287,87.212,86.9,86.308,85.449,85.084,84.392,83.349,82.815,82.555,82.402,81.988,81.187,81.359,81.422,81.84,82.057,82.225,81.832,81.813,82.285,82.95,83.346,83.133,83.103,83.708,84.312,84.665,84.552,84.433,84.423,84.564,85.142,85.761,86.158,86.246,86.318,86.781,87.39,88.248,88.998,89.65,90.126,91.032,91.647,92.261,92.66,92.765,92.255,92.12,92.216,92.247,92.437,92.8,93.429,94.245,95.132,96.014,96.859,96.83,96.355,96.12,96.198,96.512,96.519,97.185,98.109,99.344,99.714,99.846,100.282,100,99.973,100.761,101.625,102.136,102.455,102.525,102.581,103.058,105.336,108.094,108.743,107.713,106.94,106.237,105.524,104.819,104.619,104.713,105.631,106.546,107.207,107.794,108.619,109.608,110.678,111.788,113.964,115.773,115.709,116.705,119.491,123.485,125.837,126.981,128.431,130.843,133.75,138.287,141.929,144.445,146.625,149.719,153.983,158.275,162.935,166.658,168.219,167.466,165.195,163.82,162.986,163.831,165.031,162.9
지방,59.695,59.71,59.688,59.679,59.592,60.374,60.338,60.985,61.296,61.537,61.941,61.868,62.883,62.904,63.309,63.296,62.881,62.949,63.043,63.121,63.522,63.526,63.51,63.363,63.923,64.23,64.544,64.764,65.01,65.299,65.628,65.821,65.864,65.856,65.101,64.3,64.098,64.466,64.616,64.821,65.157,65.364,65.856,66.473,67.093,67.605,67.741,67.847,68.536,68.824,69.339,69.499,69.779,69.932,70.32,70.639,71.305,72.077,72.649,73.52,75.087,76.634,78.455,79.842,80.644,81.483,82.397,83.272,84.351,84.661,84.519,83.792,85.14,85.684,85.574,85.549,85.634,85.324,85.063,85.279,85.439,85.539,85.044,84.088,85.53,85.637,85.954,86.245,86.32,86.094,87.096,87.473,88.004,88.485,88.509,88.538,89.291,89.686,90.247,90.385,90.407,90.555,90.798,91.504,92.06,92.688,93.036,93.339,93.971,94.7,95.469,96.105,96.596,97.096,98.032,98.706,99.29,99.722,99.604,98.946,98.694,98.86,98.577,98.457,98.127,98.196,98.509,98.946,99.721,100.174,100.409,100.147,99.909,100.229,100.239,100.002,100.043,100.244,100.457,100.568,100.567,100.313,100,99.415,99.119,99.11,98.737,98.579,97.966,97.703,97.148,97.186,97.393,97.422,96.836,96.067,95.813,95.615,95.004,94.58,94.172,93.881,93.794,93.749,93.882,93.997,94.645,95.381,95.747,96.291,96.201,96.106,96.663,97.695,98.588,99.095,99.591,100.789,103.439,106.416,108.251,109.514,110.402,111.149,112.066,113.671,115.07,116.761,118.477,119.961,119.788,119.261,119.239,119.385,119.601,120.24,119.6
6대광역시,57.592,57.567,57.532,57.597,57.611,58.014,58.094,58.641,59.152,59.881,61.081,61.803,63.084,63.25,63.935,63.907,63.815,64.128,64.576,65.076,65.639,66.066,66.118,66.081,66.806,66.969,67.806,68.696,69.288,70.14,70.602,70.868,70.821,69.685,68.009,66.568,66.102,66.493,66.554,66.994,67.523,67.923,68.526,69.218,69.872,70.14,69.865,69.678,70.332,70.348,70.596,70.291,70.081,70.054,70.07,70.077,70.653,71.121,71.665,72.426,73.66,75.109,76.462,77.524,78.034,78.612,79.25,79.655,80.431,80.451,80.06,79.443,80.116,80.632,80.426,80.238,80.246,80.056,79.444,79.318,79.603,79.633,79.151,78.506,79.489,79.519,79.848,80.143,80.173,80.111,80.843,81.274,81.847,82.413,82.63,82.655,83.352,83.791,84.312,84.522,84.546,84.56,84.994,85.493,86.206,86.911,87.35,87.818,88.569,89.454,90.515,91.34,92.216,92.938,94.086,94.901,95.771,96.304,96.227,95.616,95.517,95.443,95.452,95.215,95.231,95.356,95.817,96.534,97.549,98.469,98.822,98.675,98.562,98.863,99.059,99.029,99.236,99.672,100.176,100.52,100.418,100.306,100,99.581,99.488,99.549,99.454,99.517,99.109,98.905,98.536,99.07,99.486,99.874,99.362,98.897,98.821,98.705,98.25,98.061,97.589,97.519,97.588,97.735,98.043,98.399,99.527,100.513,101.068,101.973,102.517,102.467,103.197,104.386,105.424,105.973,106.65,108.217,111.728,115.306,117.805,119.415,120.788,122.108,123.696,126.309,128.593,130.989,132.974,134.704,134.177,132.691,132.293,132.504,132.351,132.741,131.7
5대광역시,56.322,56.177,55.987,55.85,55.683,56.042,56.073,56.504,56.949,57.277,57.707,57.717,58.564,58.623,59.077,58.778,58.142,58.188,58.31,58.372,58.607,58.579,58.306,58.22,58.649,58.726,59.061,59.281,59.268,59.254,59.349,59.336,59.258,58.951,58.296,57.654,57.216,57.656,57.692,58.009,58.425,58.732,59.222,59.889,60.642,61.138,61.222,61.485,62.054,62.337,62.853,62.951,63.175,63.303,63.531,63.907,64.523,65.222,65.973,66.905,68.441,70.143,71.911,73.43,74.286,75.172,76.086,76.669,77.685,77.876,77.632,77.058,77.959,78.594,78.453,78.347,78.457,78.379,77.877,77.82,78.277,78.391,77.946,77.312,78.469,78.566,78.887,79.25,79.294,79.302,80.166,80.519,81.149,81.772,82.036,82.067,82.797,83.151,83.695,83.912,83.995,84.036,84.463,85.056,85.799,86.516,87.098,87.594,88.376,89.346,90.423,91.24,92.112,92.935,94.115,94.975,95.883,96.477,96.379,95.734,95.563,95.435,95.445,95.145,95.122,95.212,95.644,96.361,97.402,98.284,98.742,98.686,98.576,98.919,99.12,99.091,99.28,99.736,100.207,100.547,100.379,100.222,100,99.511,99.371,99.465,99.385,99.609,99.118,98.928,98.514,99.043,99.514,99.942,99.501,98.906,98.838,98.735,98.284,98.07,97.618,97.495,97.58,97.71,98.066,98.426,99.786,100.938,101.445,102.122,102.145,101.915,102.43,103.503,104.578,105.319,106.041,107.993,112.072,116.047,118.392,119.856,120.711,121.551,122.566,124.605,126.165,127.672,129.12,130.69,130.003,128.913,128.572,128.548,128.465,128.908,128
8개도,62.947,63.111,63.26,63.384,63.377,64.562,64.449,65.305,65.491,65.66,66.049,65.899,67.074,67.05,67.401,67.663,67.459,67.548,67.612,67.708,68.273,68.314,68.548,68.343,69.032,69.564,69.868,70.09,70.587,71.164,71.707,72.089,72.235,72.507,71.65,70.691,70.715,71.019,71.287,71.397,71.671,71.792,72.299,72.889,73.391,73.925,74.115,74.063,74.876,75.169,75.683,75.9,76.232,76.406,76.951,77.216,77.932,78.781,79.179,79.989,81.587,82.974,84.841,86.09,86.834,87.621,88.531,89.692,90.828,91.254,91.209,90.326,92.11,92.56,92.477,92.528,92.586,92.048,92.023,92.506,92.378,92.468,91.925,90.654,92.373,92.491,92.807,93.029,93.137,92.683,93.823,94.225,94.656,95.004,94.795,94.819,95.595,96.031,96.61,96.671,96.632,96.887,96.953,97.771,98.15,98.693,98.814,98.933,99.421,99.914,100.383,100.847,100.963,101.148,101.847,102.341,102.612,102.885,102.751,102.079,101.76,102.213,101.646,101.705,101.076,101.125,101.321,101.488,102.004,102.032,102.05,101.588,101.23,101.529,101.356,100.918,100.814,100.762,100.704,100.584,100.759,100.396,100,99.319,98.867,98.751,98.078,97.54,96.803,96.475,95.781,95.327,95.254,94.897,94.16,93.217,92.789,92.514,91.747,91.122,90.761,90.304,90.044,89.828,89.744,89.606,89.528,89.853,90.066,90.425,90.202,90.259,90.854,91.795,92.389,92.491,92.668,93.133,94.249,96.252,97.63,98.754,99.746,100.49,101.337,102.596,103.936,105.928,107.96,109.454,109.891,109.994,110.362,110.689,111.262,112.164,111.7
서울,61.037,62.161,63.694,64.676,65.101,65.262,65.772,66.679,67.813,70.754,74.004,75.981,76.943,76.784,77.392,76.8,75.826,76.933,77.462,78.086,78.247,78.516,78.382,78.551,79.453,80.522,82.448,84.254,85.205,85.564,84.736,84.747,82.656,79.536,74.732,70.364,73.273,76.26,76.995,79.318,80.748,82.434,84.129,86.053,86.862,86.329,85.174,84.833,86.158,86.087,85.42,83.598,82.249,81.329,80.528,80.21,80.733,80.977,81.701,82.74,83.945,84.648,84.387,83.777,83.233,82.751,82.776,82.866,82.793,82.208,81.439,80.568,80.737,80.358,79.779,79.033,78.733,78.091,77.081,76.267,75.913,75.874,75.676,74.882,75.29,75.615,76.268,76.569,76.719,76.201,76.102,76.484,77.289,77.573,77.332,77.244,77.943,78.544,78.81,78.711,78.473,78.46,78.608,79.371,80.026,80.343,80.279,80.154,80.658,81.314,82.176,82.908,83.487,83.965,84.96,85.643,86.24,86.755,87.09,86.628,86.373,86.521,86.61,86.957,87.491,88.463,89.731,90.862,91.965,93.032,93.053,92.34,92.103,92.234,92.814,92.968,94.161,95.813,98.056,98.369,98.644,99.577,100,100.902,102.827,104.668,105.83,107.252,107.607,108.207,109.526,113.928,120.047,121.142,119.169,117.857,116.617,115.639,114.597,114.463,115.402,117.674,119.932,121.453,122.626,124.358,126.357,128.275,129.382,131.026,131.97,130.817,131.305,135.501,142.095,146.714,148.344,149.511,152.015,154.907,159.546,162.386,162.704,163.738,166.528,170.238,173.612,176.736,179.58,179.98,178.39,176.533,175.615,173.898,174.861,177.146,174.9
서울 도심권,58.77,57.747,60.035,59.398,61.21,60.933,63.227,64.798,66.266,68.772,71.327,71.205,72.609,71.1,72.732,73.754,73.51,73.877,74.996,77.97,77.242,80.36,79.917,79.732,79.458,80.654,81.905,83.853,84.623,84.679,83.849,87.552,79.961,77.341,79.855,73.64,74.303,76.476,77.251,79.613,81.309,82.492,83.944,86.016,87.12,87.427,87.492,85.903,87.577,87.848,87.457,85.755,83.87,82.41,83.44,81.571,82.961,82.401,82.094,82.87,84.509,85.64,85.869,85.478,84.309,83.777,84.666,83.35,83.613,83.167,83.17,82.474,81.432,81.807,81.523,80.757,80.113,80.368,79.066,79.174,78.269,77.914,78.53,77.099,77.967,76.377,79.078,78.397,78.633,77.737,76.811,77.658,78.214,77.529,77.895,77.596,78.081,78.274,78.616,78.36,79.22,78.662,78.85,79.548,79.037,79.527,80.563,80.508,81.433,81.73,82.76,83.232,83.764,84.238,85.312,86.28,86.238,87.437,87.637,87.158,87.021,87.236,87.946,87.887,87.855,88.845,89.169,90.679,91.239,92.025,92.779,91.364,92.468,91.529,92.645,92.767,93.064,95.875,97.744,96.883,98.924,99.192,100,100.548,103.066,105.815,108.622,108.968,109.847,111.573,114.281,118.025,120.205,119.425,117.621,119.643,118.918,117.577,118.104,115.376,118.941,120.222,122.614,123.36,125.265,127.63,128.328,130.725,131.212,131.897,132.415,129.578,130.43,134.64,138.37,141.833,143.457,143.892,146.3,149.683,151.475,154.054,152.86,155.991,158.883,161.702,164.276,169.213,168.722,172.747,176.792,172.507,175.134,175.125,175.538,174.976,171.6
서울 동북권,59.075,59.482,59.779,59.843,59.984,60.496,60.606,61.326,61.985,64.131,68.32,72.479,74.889,74.99,75.915,75.975,75.359,76.172,77.072,77.824,78.314,78.872,79.173,79.511,81.19,83.152,87.283,91.401,93.412,93.94,94.375,93.651,91.495,87.967,84.016,79.423,80.933,82.837,83.147,84.623,86.072,88.124,90.055,91.55,92.748,91.753,90.41,89.874,90.721,90.54,89.776,88.247,86.574,85.278,84.289,83.71,84.497,84.789,85.261,86.123,87.556,88.299,88.18,87.699,86.934,86.724,86.863,87.004,86.915,86.633,85.988,84.985,85.197,84.441,83.861,83.207,82.738,81.886,80.786,80.457,80.062,80.153,79.786,78.701,79.269,79.514,80.108,80.09,80.188,79.785,79.699,80.195,81.16,81.506,81.164,81.127,81.681,82.255,82.289,82.27,81.703,81.757,82.101,82.776,83.316,83.591,83.592,83.328,83.953,84.479,85.276,85.954,86.458,86.861,87.961,88.617,89.32,89.779,90.099,89.445,89.363,89.475,89.442,89.577,89.671,90.252,91.228,92.106,93.185,93.952,94.24,93.929,93.193,93.33,93.562,93.825,94.597,95.945,98.396,99.033,98.975,99.809,100,100.286,101.388,103.164,104.413,105.876,105.985,106.567,107.657,111.46,118.733,121.564,119.481,118.985,118.095,117.273,116.609,116.164,116.543,118.202,120.004,121.241,122.231,123.727,125.445,127.467,129.461,132.093,134.147,133.641,134.571,138.486,147.231,153.664,155.293,156.807,159.731,162.937,168.028,171.947,173.05,174.245,176.963,181.131,185.44,187.728,190.623,190.632,187.615,185.933,184.697,179.53,183.413,186.175,181.3
서울 서북권,56.506,56.527,57.243,57.589,58.322,59.086,59.704,60.279,61.805,64.101,66.464,67.566,68.247,68.749,70.018,69.893,69.424,71.459,71.852,73.102,73.799,74.808,75.282,75.885,77.458,78.738,80.251,83.23,85.284,87.173,85.946,86.919,85.049,83.588,77.061,75.729,75.98,78.017,78.545,80.318,81.502,82.397,83.348,85.406,86.147,86.464,85.234,85.101,86.019,86.002,85.495,84.389,83.212,83.399,82.047,82.804,82.333,82.204,82.702,83.646,83.981,85.193,84.808,85.293,84.439,83.533,84.357,84.408,85.736,84.707,83.348,82.902,82.388,82.533,82.82,81.735,82.417,81.063,79.95,78.853,79.908,79.023,79.573,78.488,78.301,79.117,79.121,79.502,80.209,79.843,79.883,80.06,80.659,80.748,80.208,80.405,80.992,82.143,82.307,81.95,82.261,81.736,82.143,82.819,83.27,83.368,83.334,83.276,83.7,84.079,85.082,85.426,86.129,86.447,87.022,87.876,88.373,88.787,89.245,89.118,88.781,89.109,89.936,89.727,90.712,91.162,92.473,93.619,94.6,95.916,96.042,94.824,94.638,95.485,95.911,95.946,96.662,97.91,99.166,99.752,99.543,100.269,100,100.314,101.65,104.127,105.2,107.195,108.529,109.043,110.438,115.46,120.919,121.511,118.862,118.733,115.832,115.448,114.362,115.481,116.658,117.746,120.032,121.791,122.541,123.588,125.385,127.302,128.869,130.069,130.475,131.05,131.586,135.008,140.421,144.316,146.761,149.079,151.831,154.125,158.497,161.822,159.655,161.931,163.262,167.282,170.548,172.554,177.054,175.542,175.315,169.961,169.415,169.925,170.554,172.089,172.3
서울 서남권,60.497,61.754,63.618,65.242,66.07,66.8,67.611,68.942,70.605,73.664,76.812,77.532,78.025,78.527,79.171,78.64,77.766,78.62,79.182,79.714,80.037,79.969,80.158,80.397,80.995,81.943,82.939,84.105,85.861,86.758,86.73,87.489,85.231,82.078,77.766,74.341,75.443,78.695,79.801,81.764,83.336,84.873,86.326,88.455,89.064,88.517,87.48,87.023,88.252,88.258,87.942,85.839,85.059,84.215,82.956,82.762,83.248,83.581,84.102,84.845,86.2,86.814,86.549,85.737,85.659,84.772,84.45,84.785,84.392,83.934,83.429,82.279,82.301,82.31,81.785,81.281,80.845,80.22,79.593,78.734,78.543,78.064,77.863,77.211,77.112,77.52,77.879,78.512,78.693,78.238,78.215,78.489,79.19,79.486,79.291,79.267,79.884,80.175,80.514,80.4,80.005,80.061,79.742,80.413,81.254,81.644,81.413,81.396,81.75,82.461,83.424,84.216,84.822,85.432,86.426,87.171,87.829,88.315,88.399,88.076,87.664,88.056,88.154,88.468,88.925,89.909,91.484,92.657,93.581,94.681,94.422,93.842,93.958,93.919,94.614,94.495,95.59,96.969,98.717,98.689,99.08,99.864,100,100.722,101.945,103.175,104.406,106.132,106.748,107.526,108.708,113.672,119.799,120.179,119.462,116.753,116.51,115.643,114.776,114.436,114.962,117.357,118.959,120.57,121.569,123.471,125.619,127.339,128.847,130.718,131.638,130.675,131.277,134.689,140.566,145.03,146.453,147.378,149.813,152.741,157.264,159.656,160.618,161.317,164.762,167.593,170.428,175.084,177.106,178.575,176.516,175.966,173.04,174.592,173.604,175.204,173.7
서울 동남권,62.639,64.365,66.888,68.975,69.483,67.943,68.454,69.047,70.513,75.134,78.757,78.277,77.995,77.558,77.561,75.355,74.207,76.526,76.869,77.357,76.666,76.693,75.746,76.458,77.032,77.626,77.957,78.062,77.052,76.93,74.528,74.224,73.321,70.202,65.645,61.47,66.255,69.563,70.467,73.613,74.947,76.67,78.556,80.546,81.095,80.513,79.22,79.333,81.124,81.098,80.131,77.865,76.237,75.431,75.255,74.902,75.371,75.683,76.93,78.368,79.511,80.176,79.705,78.712,78.136,77.749,77.648,77.677,77.555,76.506,75.433,74.806,75.294,74.698,73.698,72.78,72.523,72.261,71.023,69.578,68.86,69.276,69.066,68.492,69.376,69.762,70.758,71.177,71.15,70.303,70.133,70.474,71.277,71.603,71.495,71.338,72.273,73.056,73.542,73.298,73.342,73.347,73.598,74.583,75.408,75.793,75.53,75.455,75.868,76.732,77.436,78.317,78.839,79.316,80.252,80.723,81.136,81.717,82.274,81.732,81.422,80.997,80.763,81.817,82.86,84.419,85.724,86.952,88.339,89.66,89.254,87.983,87.836,88.054,88.967,89.417,91.558,93.837,96.581,96.625,97.342,98.677,100,102.168,106.333,109.823,110.616,111.234,110.552,110.814,112.102,117.184,122.29,121.47,118.862,116.256,113.985,112.375,111.009,112.447,114.367,117.777,121.084,123.037,124.786,126.919,129.945,132.916,132.559,132.616,131.51,128.628,129.23,135.946,141.852,144.79,146.637,146.988,149.147,152.158,157.153,159.236,158.733,159.559,162.031,166.477,169.11,171.942,176.258,176.32,175.842,174.444,175.905,171.912,171.909,175.875,174.9
부산,49.967,49.841,49.31,48.935,48.438,48.618,48.78,48.808,48.781,48.796,48.988,48.699,49.238,49.182,49.554,49.545,49.419,49.658,49.926,49.976,50.358,50.47,50.443,50.375,50.766,51.051,51.46,51.986,52.214,52.396,52.731,52.928,52.922,52.958,52.468,52.004,52.058,52.481,52.887,53.029,53.366,53.639,54.046,54.893,55.661,56.27,56.754,57.073,57.952,58.483,59.526,59.92,60.453,60.99,61.311,62.16,63.042,64.114,65.082,66.317,68.181,70.359,72.71,74.881,75.542,76.634,77.432,77.951,79.264,78.86,78.528,77.617,78.567,79.058,78.779,78.495,78.251,77.918,77.062,77.166,77.476,77.435,76.945,75.969,77.144,77.021,77.492,77.599,77.539,77.372,78.007,78.037,78.749,79,79.172,78.864,79.332,79.605,80.08,80.277,80.215,79.954,80.282,81.024,81.186,81.652,81.953,82.134,82.41,83.032,83.825,84.423,84.877,85.494,86.319,86.94,87.884,88.687,89.259,89.242,89.179,89.404,89.88,90.123,90.452,90.956,91.704,93.124,95.058,96.948,98.148,98.253,98.284,99.086,99.629,100.04,100.373,100.924,101.254,101.266,100.412,100.146,100,98.924,98.521,98.298,98.016,98.161,97.549,96.896,96.118,96.343,96.145,96.181,95.16,94.031,93.862,94.182,93.084,93.08,92.129,91.65,91.563,91.193,91.228,90.898,93.182,95.067,95.016,94.961,94.811,94.206,94.3,95.342,96.088,96.415,97.011,99.474,104.941,110.298,111.516,112.596,113.26,114.263,116.154,118.246,120.131,121.662,122.728,123.995,123.393,121.963,122.053,122.199,122.502,123.433,122.1
